2022年,公司名称(中英文),营业收入(百万美元),利润(百万美元),国家
454,菲利普－莫里斯国际公司（PHILIP MORRIS INTERNATIONAL),31405,9109,美国
455,全球燃料服务公司（WORLD FUEL SERVICES),31337,73,美国
456,加拿大丰业银行（BANK OF NOVA SCOTIA),31226,7651,加拿大
457,森科能源公司（SUNCOR ENERGY),31190,3285,加拿大
458,山东高速集团有限公司（SHANDONG HI-SPEED GROUP),31135,685,中国
459,海亮集团有限公司（HAILIANG GROUP),31048,127,中国
460,CRH公司（CRH),30981,2565,爱尔兰
461,Investor公司（INVESTOR),30948,26585,瑞典
462,纬创集团（WISTRON),30866,374,中国
463,林德集团（LINDE),30798,3826,英国
464,三星人寿保险（SAMSUNG LIFE INSURANCE),30654,1284,韩国
465,巴西银行（BANCO DO BRASIL),30601,3401,巴西
466,成都兴城投资集团有限公司（CHENGDU XINGCHENG INVESTMENT GROUP),30552,341,中国
467,广州医药集团有限公司（GUANGZHOU PHARMACEUTICAL HOLDINGS),30466,320,中国
468,Performance Food Group公司（PERFORMANCE FOOD GROUP),30398,40,美国
469,上海德龙钢铁集团有限公司（SHANGHAI DELONG STEEL GROUP),30343,787,中国
470,GS加德士（GS CALTEX),30181,919,韩国
471,Mercadona公司（MERCADONA),30169,804,西班牙
472,CJ集团（CJ CORP.),30134,240,韩国
473,美敦力公司（MEDTRONIC),30117,3606,爱尔兰
474,三星C&T公司（SAMSUNG C&T),30108,1428,韩国
475,台湾中油股份有限公司（CPC),30021,-1406,中国
476,住友电工（SUMITOMO ELECTRIC INDUSTRIES),29980,857,日本
477,X5零售集团（X5 RETAIL GROUP),29921,580,荷兰
478,达美航空（DELTA AIR LINES),29899,280,美国
479,美国航空集团（AMERICAN AIRLINES GROUP),29882,-1993,美国
480,东芝（TOSHIBA),29705,1732,日本
481,Netflix公司（NETFLIX),29697,5116,美国
482,麦德龙（METRO),29594,-66,德国
483,派拉蒙环球公司（PARAMOUNT GLOBAL),29579,4543,美国
484,普利司通（BRIDGESTONE),29570,3589,日本
485,US Foods Holding公司（US FOODS HOLDING),29487,164,美国
486,丹纳赫公司（DANAHER),29453,6433,美国
487,珠海格力电器股份有限公司（GREE ELECTRIC APPLIANCES),29402,3575,中国
488,豪瑞（HOLCIM),29362,2514,瑞士
489,Medipal控股公司（MEDIPAL HOLDINGS),29295,261,日本
490,捷普公司（JABIL),29285,696,美国
491,任仕达公司（RANDSTAD),29126,908,荷兰
492,星巴克公司（STARBUCKS),29060,4199,美国
493,Coles集团（COLES GROUP),29055,750,澳大利亚
494,瑞士信贷（CREDIT SUISSE GROUP),29043,-1805,瑞士
495,莱茵集团（RWE),28997,852,德国
496,DSV公司（DSV),28987,1781,丹麦
497,瑞士ABB集团（ABB),28945,4546,瑞士
498,亿滋国际（MONDELEZ INTERNATIONAL),28720,4300,美国
499,达能（DANONE),28708,2274,法国
500,优美科公司（UMICORE),28649,731,比利时
